target,feature_set,model,evaluation,nominal_fraction,n_early,n_all,event_n_early,event_n_all,B_early,B_all,C00_early_Bearly,C10_all_Bearly,C01_early_Ball,C11_all_Ball,C00_tp,C10_tp,C01_tp,C11_tp,availability_main_at_early_budget,capacity_main_in_early_cohort,interaction,ordered_capacity_within_early_cohort,ordered_availability_at_all_budget,availability_at_early_budget,capacity_in_all_cohort,shapley_availability,shapley_capacity,total_topq_contrast,identity_factorial_error,identity_shapley_error,interaction_via_availability_error,interaction_via_capacity_error
target_preterm,landmark_strict,lightgbm,temporal_evaluation_cohort_2023,0.05,2601060,3480382,217632,303001,130053,174019,0.09054095531037851,0.10043531209467955,0.11095012887746245,0.12419430958973733,27434,30432,33618,37631,0.009894356784301048,0.020409173567083938,0.0033498239279738384,0.020409173567083938,0.013244180712274886,0.009894356784301048,0.023758997495057776,0.011569268748287967,0.022084085531070857,0.033653354279358824,0.0,0.0,0.0,0.0
target_preterm,landmark_strict,lightgbm,temporal_evaluation_cohort_2023,0.1,2601060,3480382,217632,303001,260106,348038,0.1462899462378012,0.16521727651063858,0.1789301025409157,0.20297952812036923,44326,50061,54216,61503,0.018927330272837384,0.03264015630311451,0.005122095306616142,0.03264015630311451,0.024049425579453526,0.018927330272837384,0.03776225160973065,0.021488377926145455,0.03520120395642258,0.056689581882568035,0.0,0.0,0.0,0.0
target_nicu,landmark_strict,lightgbm,temporal_evaluation_cohort_2023,0.05,2597274,3476584,214174,303285,129864,173829,0.08507179715449165,0.09551082315313979,0.10483538585818619,0.1182188370674448,25801,28967,31795,35854,0.010439025998648141,0.019763588703694546,0.002944425210610474,0.019763588703694546,0.013383451209258615,0.010439025998648141,0.02270801391430502,0.011911238603953378,0.021235801308999783,0.03314703991295316,0.0,0.0,0.0,0.0
target_nicu,landmark_strict,lightgbm,temporal_evaluation_cohort_2023,0.1,2597274,3476584,214174,303285,259727,347658,0.13931450615757457,0.15837578515257925,0.17198344791202994,0.1951992350429464,42252,48033,52160,59201,0.019061278995004677,0.032668941754455366,0.004154508135911783,0.032668941754455366,0.02321578713091646,0.019061278995004677,0.03682344989036715,0.02113853306296057,0.03474619582241126,0.055884728885371826,0.0,0.0,0.0,0.0
target_lbw,landmark_strict,lightgbm,temporal_evaluation_cohort_2023,0.05,2600093,3480316,169152,243776,130005,174016,0.09528829745339984,0.10757416644788659,0.11862529535311105,0.134927146232607,23229,26224,28918,32892,0.012285868994486748,0.023336997899711207,0.004015981885009193,0.023336997899711207,0.01630185087949594,0.012285868994486748,0.0273529797847204,0.014293859936991345,0.025344988842215803,0.03963884877920715,0.0,0.0,0.0,0.0
target_lbw,landmark_strict,lightgbm,temporal_evaluation_cohort_2023,0.1,2600093,3480316,169152,243776,260009,348032,0.16057774350223156,0.18327891178787084,0.1989736479390916,0.22828334208453663,39145,44679,48505,55650,0.022701168285639284,0.03839590443686006,0.006608525859805731,0.03839590443686006,0.029309694145445014,0.022701168285639284,0.04500443029666579,0.02600543121554215,0.04170016736676292,0.06770559858230507,0.0,0.0,0.0,0.0
